テーブル名	論理名	合計	SP_ANALYTICS.sql	SP_BATCH_PROCESS.sql	SP_COMPLEX_DML.sql	SP_CUSTOMER.sql	SP_DATA_MIGRATION.sql	SP_INVENTORY.sql	SP_ORDER.sql	SP_REPORT.sql	SP_VIEW_DEFINITIONS.sql
		プログラム数→	-	-	-	-	-	-	-	-	-
C.CREATED_AT		R			R		R				R
C.CUSTOMER_ID		R	R		R		R				R
C.EMAIL		R	R		R		R			R	R
C.NAME		R	R		R		R			R	R
C.PHONE		R	R		R						R
CUSTOMERS_ARCHIVE.ARCHIVED_AT		C			C						
CUSTOMERS_ARCHIVE.CREATED_AT		C			C						
CUSTOMERS_ARCHIVE.CUSTOMER_ID		C			C						
CUSTOMERS_ARCHIVE.EMAIL		C			C						
CUSTOMERS_ARCHIVE.NAME		C			C						
CUSTOMERS_ARCHIVE.PHONE		C			C						
CUSTOMERS.CREATED_AT		C				C					
CUSTOMERS.CUSTOMER_ID		C				C					
CUSTOMERS.EMAIL		CU				CU					
CUSTOMERS.NAME		C				C					
CUSTOMERS.PHONE		CU				CU					
CUSTOMERS.UPDATED_AT		U				U					
DAILY_AGGREGATES.AGGREGATE_DATE		C		C							
DAILY_AGGREGATES.AGGREGATE_ID		C		C							
DAILY_AGGREGATES.CREATED_AT		C		C							
DAILY_AGGREGATES.METRIC_KEY		C		C							
DAILY_AGGREGATES.METRIC_TYPE		C		C							
DAILY_AGGREGATES.METRIC_VALUE		C		C							
I.INV_ID		R		R							
I.PRODUCT_ID		R		R							
I.QUANTITY		R		R						R	R
I.UPDATED_AT		R								R	
I.WAREHOUSE_ID		R		R							
INVENTORY_AUDIT.AUDIT_ID		C		C							
INVENTORY_AUDIT.CREATED_AT		C		C							
INVENTORY_AUDIT.INV_ID		C		C							
INVENTORY_AUDIT.NEW_QTY		C		C							
INVENTORY_AUDIT.OLD_QTY		C		C							
INVENTORY_AUDIT.PRODUCT_ID		C		C							
INVENTORY_AUDIT.REASON		C		C							
INVENTORY_AUDIT.WAREHOUSE_ID		C		C							
INVENTORY.INV_ID		C						C			
INVENTORY.PRODUCT_ID		C						C			
INVENTORY.QUANTITY		CU		U				CU			
INVENTORY.UPDATED_AT		CU		U				CU			
INVENTORY.WAREHOUSE_ID		C						C			
MISSING.PRODUCT_ID		R					R				
MISSING.PRODUCT_NAME		R					R				
MONTHLY_SALES_SUMMARY.CREATED_AT		C			C						
MONTHLY_SALES_SUMMARY.CUSTOMER_COUNT		C			C						
MONTHLY_SALES_SUMMARY.PRODUCT_ID		C			C						
MONTHLY_SALES_SUMMARY.SUMMARY_ID		C			C						
MONTHLY_SALES_SUMMARY.SUMMARY_MONTH		C			C						
MONTHLY_SALES_SUMMARY.SUMMARY_YEAR		C			C						
MONTHLY_SALES_SUMMARY.TOTAL_AMOUNT		C			C						
