テーブル名	論理名	合計	SP_CUSTOMER.sql	SP_INVENTORY.sql	SP_ORDER.sql	SP_REPORT.sql
		プログラム数→	-	-	-	-
C.EMAIL		R				R
C.NAME		R				R
CUSTOMERS.CREATED_AT		C	C			
CUSTOMERS.CUSTOMER_ID		C	C			
CUSTOMERS.EMAIL		CU	CU			
CUSTOMERS.NAME		C	C			
CUSTOMERS.PHONE		CU	CU			
CUSTOMERS.UPDATED_AT		U	U			
I.QUANTITY		R				R
I.UPDATED_AT		R				R
INVENTORY.INV_ID		C		C		
INVENTORY.PRODUCT_ID		C		C		
INVENTORY.QUANTITY		CU		CU		
INVENTORY.UPDATED_AT		CU		CU		
INVENTORY.WAREHOUSE_ID		C		C		
O.ORDER_DATE		R	R			R
O.ORDER_ID		R	R			R
O.STATUS		R	R			R
O.TOTAL_AMOUNT		R	R			
OI.QUANTITY		R				R
OI.UNIT_PRICE		R				R
ORDER_ITEMS.ITEM_ID		C			C	
ORDER_ITEMS.ORDER_ID		C			C	
ORDER_ITEMS.PRODUCT_ID		C			C	
ORDER_ITEMS.QUANTITY		C			C	
ORDER_ITEMS.UNIT_PRICE		C			C	
ORDERS.CUSTOMER_ID		C			C	
ORDERS.ORDER_DATE		C			C	
ORDERS.ORDER_ID		C			C	
ORDERS.STATUS		CU			CU	
ORDERS.TOTAL_AMOUNT		C			C	
ORDERS.UPDATED_AT		U			U	
P.CATEGORY		R				R
P.PRODUCT_ID		R				R
P.PRODUCT_NAME		R				R
SEQ_ITEM.NEXTVAL		R			R	
