テーブル名	エンティティ名		SP_ANALYTICS.sql	SP_BATCH_PROCESS.sql	SP_COMPLEX_DML.sql
			=COUNTA(D3:D21)	=COUNTA(E3:E21)	=COUNTA(F3:F21)
CUSTOMERS		=COUNTA(D3:G3)	R	R	R
CUSTOMERS_ARCHIVE		=COUNTA(D4:G4)			CR
CUSTOMER_BLACKLIST		=COUNTA(D5:G5)	R		
DAILY_AGGREGATES		=COUNTA(D6:G6)		CD	
DELIVERIES		=COUNTA(D7:G7)		R	
DUAL		=COUNTA(D8:G8)			R
INVENTORY		=COUNTA(D9:G9)		RU	
INVENTORY_AUDIT		=COUNTA(D10:G10)		C	
MONTHLY_SALES_SUMMARY		=COUNTA(D11:G11)			CD
ORDERS		=COUNTA(D12:G12)	R	RU	RUD
ORDER_ITEMS		=COUNTA(D13:G13)	R	R	RD
PAYMENTS		=COUNTA(D14:G14)		R	
PRICE_HISTORY		=COUNTA(D15:G15)			C
PRODUCTS		=COUNTA(D16:G16)	R	R	R
STOCK_SHIPMENTS		=COUNTA(D17:G17)		R	
WAREHOUSES		=COUNTA(D18:G18)		R	
WAREHOUSE_DEMAND		=COUNTA(D19:G19)		R	
WAREHOUSE_STOCK		=COUNTA(D20:G20)		R	
